Player,Age,A group,Bat,B group,Height(inch),H group,Weight,W group,5thHR,5thC,10thHR,10thC,20thHR,20thC,30thHR,30thC,Team,League,HR
Carter Kieboom,22,0,R,0,74,1,190,1,43,0,43,0,43,0,43,0,WAS,0,2
Yandy Diaz,28,1,R,0,74,1,185,1,84,1,218,1,347,0,347,0,TB,1,14
Lourdes Gurriel,26,1,R,0,74,1,185,1,103,1,165,1,334,1,343,0,TOR,1,20
David Dahl,25,1,L,1,74,1,185,1,183,1,293,1,413,0,413,0,COL,0,15
Randal Grichuk,28,1,R,0,74,1,195,1,123,1,245,1,460,1,592,1,TOR,1,31
Dustin Peterson,25,1,R,0,74,1,185,1,47,0,47,0,47,0,47,0,DET,1,0
Ryan McMahon,24,0,L,1,74,1,185,1,118,1,294,1,459,1,539,0,COL,0,24
Josh Reddick,32,2,L,1,74,1,180,1,201,1,303,1,547,0,547,0,HOU,1,14
Teoscar Hernandez,27,1,R,0,74,1,180,1,184,1,249,1,368,1,464,0,TOR,1,26
Renato Nunez,25,1,R,0,73,1,200,1,84,1,188,1,325,1,543,1,BAL,1,31
Jorge Bonifacio,26,1,R,0,74,1,180,1,21,0,21,0,21,0,21,0,KC,1,0
Albert Almora Jr.,25,1,R,0,74,1,180,1,146,1,302,1,363,0,363,0,CHC,0,12
J.P. Crawford,24,0,L,1,74,1,180,1,270,1,396,0,396,0,396,0,SEA,1,7
Oscar Mercado,24,0,R,0,74,1,180,1,196,1,330,1,482,0,482,0,CLE,1,15
Mike Gerber,27,1,L,1,74,1,175,0,26,0,26,0,26,0,26,0,SF,0,0
Andrelton Simmons,30,2,R,0,74,1,170,0,247,1,424,0,424,0,424,0,LAA,1,7
Matt Duffy,28,1,R,0,74,1,170,0,169,0,169,0,169,0,169,0,TB,1,1
Gavin Lux,21,0,L,1,74,1,170,0,82,0,82,0,82,0,82,0,LAD,0,2
Raimel Tapia,25,1,L,1,74,1,160,0,105,1,447,0,447,0,447,0,COL,0,9
Albert Pujols,39,2,R,0,75,2,240,2,120,1,199,1,450,1,545,0,LAA,1,23
Anthony Rizzo,30,2,L,1,75,2,240,2,111,1,158,1,405,1,613,0,CHC,0,27
Ryan McBroom,27,1,R,0,75,2,240,2,83,0,83,0,83,0,83,0,KC,1,0
Jose Osuna,26,1,R,0,75,2,240,2,50,1,176,1,284,0,284,0,PIT,0,10
Ronald Acuna,21,0,R,0,72,1,180,1,51,1,201,1,419,1,550,1,ATL,0,41
Hanley Ramirez,35,2,R,0,75,2,238,2,57,0,57,0,57,0,57,0,CLE,1,2
Alex Dickerson,29,1,L,1,75,2,235,2,100,1,190,0,190,0,190,0,SF,0,6
Jorge Alfaro,26,1,R,0,75,2,233,2,79,1,227,1,465,0,465,0,MIA,0,18
Chris Davis,33,2,L,1,75,2,230,2,108,1,312,1,352,0,352,0,BAL,1,12
Rougned Odor,25,1,L,1,71,1,170,0,119,1,253,1,376,1,576,1,TEX,1,30
Matt Adams,31,2,L,1,75,2,230,2,90,1,146,1,278,1,333,0,WAS,0,20
Cam Gallagher,26,1,R,0,75,2,230,2,142,0,142,0,142,0,142,0,KC,1,3
Chris Shaw,25,1,L,1,75,2,229,2,20,0,20,0,20,0,20,0,SF,0,0
Curt Casali,31,2,R,0,75,2,225,2,169,1,236,0,236,0,236,0,CIN,0,8
James McCann,29,1,R,0,75,2,225,2,183,1,263,1,476,0,476,0,CWS,1,18
Travis Shaw,29,1,L,1,75,2,225,2,174,1,270,0,270,0,270,0,MIL,0,7
