Player,Age,A group,Bat,B group,Height(inch),H group,Weight,W group,5thHR,5thC,10thHR,10thC,20thHR,20thC,30thHR,30thC,Team,League,HR
Donovan Solano,31,2,R,0,67,0,208,1,228,0,228,0,228,0,228,0,SF,0,4
Terrance Gore,28,1,R,0,67,0,165,0,58,0,58,0,58,0,58,0,KC,1,0
Leury Garcia,28,1,B,2,67,0,153,0,272,1,618,0,618,0,618,0,CWS,1,8
Gerardo Parra,32,2,L,1,68,0,219,1,168,1,303,0,303,0,303,0,WAS,0,8
Francisco Mejia,24,0,B,2,68,0,190,1,164,1,244,0,244,0,244,0,SD,0,8
Jonathan Davis,27,1,R,0,68,0,188,1,95,0,95,0,95,0,95,0,TOR,1,2
Adam Eaton,30,2,L,1,68,0,184,1,224,1,518,1,656,0,656,0,WAS,0,15
Josh Harrison,32,2,R,0,68,0,177,0,147,0,147,0,147,0,147,0,DET,1,1
Andrew Velazquez,25,1,B,2,68,0,175,0,24,0,24,0,24,0,24,0,CLE,1,0
Cedric Mullins,25,1,B,2,68,0,175,0,74,0,74,0,74,0,74,0,BAL,1,0
Ozzie Albies,22,0,B,2,68,0,165,0,124,1,293,1,618,1,702,0,ATL,0,24
Willians Astudillo,28,1,R,0,69,0,225,2,204,0,204,0,204,0,204,0,MIN,1,4
Delino DeShields Jr.,27,1,R,0,69,0,205,1,408,0,408,0,408,0,408,0,TEX,1,4
Nick Dini,26,1,R,0,69,0,205,1,64,0,64,0,64,0,64,0,KC,1,2
Christian Vazquez,29,1,R,0,69,0,195,1,83,1,215,1,470,1,521,0,BOS,1,23
Andrew Benintendi,25,1,L,1,69,0,194,1,158,1,424,1,615,0,615,0,BOS,1,13
Kolten Wong,29,1,L,1,69,0,190,1,161,1,461,1,549,0,549,0,STL,0,11
Jose Ramirez,27,1,B,2,69,0,190,1,304,1,405,1,513,1,542,0,CLE,1,23
Luis Urias,22,0,R,0,69,0,186,1,249,0,249,0,249,0,249,0,SD,0,4
Dustin Pedroia,36,2,R,0,69,0,180,1,21,0,21,0,21,0,21,0,BOS,1,0
Willie Calhoun,25,1,L,1,69,0,177,0,84,1,155,1,312,1,337,0,TEX,1,21
Mookie Betts,27,1,R,0,69,0,175,0,119,1,279,1,543,1,706,0,BOS,1,29
Franklin Barreto,23,0,R,0,69,0,174,0,58,0,58,0,58,0,58,0,OAK,1,2
Juan Centeno,29,1,L,1,69,0,172,0,18,0,18,0,18,0,18,0,BOS,1,0
Alex Bregman,25,1,R,0,72,1,192,1,122,1,147,1,321,1,531,1,HOU,1,41
Abraham Almonte,30,2,B,2,69,0,170,0,38,0,38,0,38,0,38,0,ARI,0,1
Mallex Smith,26,1,L,1,69,0,160,0,231,1,566,0,566,0,566,0,SEA,1,6
Tzu-Wei Lin,25,1,L,1,69,0,155,0,22,0,22,0,22,0,22,0,BOS,1,0
Welington Castillo,32,2,R,0,70,1,230,2,113,1,232,1,251,0,251,0,CWS,1,12
Jean Segura,29,1,R,0,70,1,220,2,178,1,313,1,618,0,618,0,PHI,0,12
Josh Phegley,31,2,R,0,70,1,215,1,109,1,245,1,342,0,342,0,OAK,1,12
Mike Brosseau,25,1,R,0,70,1,215,1,84,1,142,0,142,0,142,0,TB,1,6
Manuel Margot,25,1,R,0,70,1,209,1,209,1,303,1,441,0,441,0,SD,0,12
Phillip Ervin,27,1,R,0,70,1,207,1,172,1,260,0,260,0,260,0,CIN,0,7
Max Stassi,28,1,R,0,70,1,206,1,147,0,147,0,147,0,147,0,HOU,1,1
Russell Martin,36,2,R,0,70,1,205,1,223,1,249,0,249,0,249,0,LAD,0,6
Jackie Bradley Jr.,29,1,L,1,70,1,200,1,214,1,356,1,514,1,567,0,BOS,1,21
Eric Haase,26,1,R,0,70,1,200,1,17,0,17,0,17,0,17,0,CLE,1,1
Tony Wolters,27,1,L,1,70,1,197,1,411,0,411,0,411,0,411,0,COL,0,1
Anthony Rendon,29,1,R,0,72,1,190,1,54,1,159,1,311,1,531,1,WAS,0,34
Brock Holt,31,2,L,1,70,1,195,1,295,0,295,0,295,0,295,0,BOS,1,3
Taylor Davis,29,1,R,0,70,1,195,1,20,0,20,0,20,0,20,0,CHC,0,1
Guillermo Heredia,28,1,R,0,70,1,195,1,223,1,231,0,231,0,231,0,TB,1,5
John Ryan Murphy,28,1,R,0,70,1,195,1,70,0,70,0,70,0,70,0,ARI,0,4
Danny Mendick,26,1,R,0,70,1,195,1,40,0,40,0,40,0,40,0,CWS,1,2
Jose Trevino,26,1,R,0,70,1,195,1,126,0,126,0,126,0,126,0,TEX,1,2
Jose Pirela,29,1,R,0,70,1,191,1,24,0,24,0,24,0,24,0,PHI,0,1
Rene Rivera,36,2,R,0,70,1,190,1,20,0,20,0,20,0,20,0,NYM,0,1
Daniel Descalso,33,2,L,1,70,1,190,1,193,0,193,0,193,0,193,0,CHC,0,2
Austin Meadows,24,0,L,1,74,1,195,1,56,1,143,1,415,1,536,1,TB,1,33
Christian Colon,30,2,R,0,70,1,190,1,8,0,8,0,8,0,8,0,CIN,0,0
Austin Barnes,29,1,R,0,70,1,190,1,167,1,242,0,242,0,242,0,LAD,0,5
Jon Berti,29,1,R,0,70,1,190,1,155,1,287,0,287,0,287,0,MIA,0,6
Michael Chavis,24,0,R,0,70,1,190,1,58,1,118,1,382,0,382,0,BOS,1,18
Tommy Edman,24,0,B,2,70,1,185,1,185,1,298,1,349,0,349,0,STL,0,11
Isan Diaz,23,0,L,1,70,1,185,1,201,1,201,0,201,0,201,0,MIA,0,5
Eric Sogard,33,2,L,1,70,1,183,1,148,1,271,1,442,0,442,0,TOR,1,10
Jake Elmore,32,2,R,0,70,1,180,1,49,0,49,0,49,0,49,0,PIT,0,0
Jedd Gyorko,31,2,R,0,70,1,180,1,39,0,39,0,39,0,39,0,LAD,0,0
Chris Owings,28,1,R,0,70,1,180,1,196,0,196,0,196,0,196,0,KC,1,2
Nick Solak,24,0,R,0,70,1,180,1,115,1,135,0,135,0,135,0,TEX,1,5
Myles Straw,25,1,R,0,70,1,179,0,128,0,128,0,128,0,128,0,HOU,1,0
Brandon Lowe,25,1,L,1,70,1,178,0,67,1,161,1,327,0,327,0,TB,1,17
Isiah Kiner-Falefa,24,0,R,0,70,1,176,0,222,0,222,0,222,0,222,0,TEX,1,1
Jason Kipnis,32,2,L,1,70,1,175,0,223,1,371,1,511,0,511,0,CLE,1,17
Garrett Stubbs,26,1,L,1,70,1,175,0,39,0,39,0,39,0,39,0,HOU,1,0
David Fletcher,25,1,R,0,70,1,175,0,250,1,653,0,653,0,653,0,LAA,1,6
Donnie Walton,25,1,L,1,70,1,175,0,19,0,19,0,19,0,19,0,SEA,1,0
Scott Kingery,25,1,R,0,70,1,175,0,111,1,165,1,500,0,500,0,PHI,0,19
Jason Martin,24,0,L,1,70,1,175,0,40,0,40,0,40,0,40,0,PIT,0,0
Shed Long,24,0,L,1,70,1,175,0,136,1,168,0,168,0,168,0,SEA,1,5
Rajai Davis,39,2,R,0,70,1,170,0,26,0,26,0,26,0,26,0,NYM,0,1
Ryan Goins,31,2,L,1,70,1,170,0,163,0,163,0,163,0,163,0,CWS,1,2
Johnny Davis,29,1,B,2,70,1,170,0,4,0,4,0,4,0,4,0,TB,1,0
Roman Quinn,26,1,R,0,70,1,170,0,122,0,122,0,122,0,122,0,PHI,0,4
Luis Guillorme,25,1,L,1,70,1,170,0,70,0,70,0,70,0,70,0,NYM,0,1
Cesar Hernandez,29,1,B,2,70,1,167,0,210,1,583,1,667,0,667,0,PHI,0,14
Scooter Gennett,29,1,L,1,70,1,165,0,139,0,139,0,139,0,139,0,SF,0,2
Luis Rengifo,22,0,B,2,70,1,165,0,344,1,406,0,406,0,406,0,LAA,1,7
Jarrod Dyson,35,2,L,1,70,1,160,0,188,1,452,0,452,0,452,0,ARI,0,7
Ben Gamel,27,1,L,1,70,1,156,0,202,1,356,0,356,0,356,0,MIL,0,7
Luis Arraez,22,0,L,1,70,1,155,0,366,0,366,0,366,0,366,0,MIN,1,4
Thairo Estrada,23,0,R,0,70,1,154,0,69,0,69,0,69,0,69,0,NYY,1,3
Bryce Harper,27,1,L,1,75,2,220,2,94,1,242,1,501,1,584,1,PHI,0,35
Ronald Torreyes,27,1,R,0,70,1,151,0,17,0,17,0,17,0,17,0,MIN,1,0
Wilfredo Tovar,28,1,R,0,70,1,150,0,88,0,88,0,88,0,88,0,LAA,1,0
Pablo Reyes,26,1,R,0,70,1,150,0,157,0,157,0,157,0,157,0,PIT,0,2
Pablo Sandoval,33,2,B,2,71,1,268,2,76,1,172,1,296,0,296,0,SF,0,14
Josh Naylor,22,0,L,1,71,1,247,2,135,1,279,0,279,0,279,0,SD,0,8
Howie Kendrick,36,2,R,0,71,1,224,2,84,1,155,1,370,0,370,0,WAS,0,17
Roberto Perez,30,2,R,0,71,1,220,2,97,1,155,1,339,1,449,0,CLE,1,24
Hanser Alberto,27,1,R,0,71,1,215,1,302,1,428,1,550,0,550,0,BAL,1,12
Clint Frazier,25,1,R,0,71,1,212,1,62,1,145,1,246,0,246,0,NYY,1,12
Carlos Santana,33,2,B,2,71,1,210,1,126,1,231,1,382,1,540,1,CLE,1,34
Alex Avila,32,2,L,1,71,1,210,1,78,1,201,0,201,0,201,0,ARI,0,9
Seby Zavala,26,1,R,0,71,1,210,1,12,0,12,0,12,0,12,0,CWS,1,0
Odubel Herrera,27,1,L,1,71,1,206,1,139,0,139,0,139,0,139,0,PHI,0,1
Shin-Soo Choo,37,2,L,1,71,1,205,1,171,1,222,1,509,1,660,0,TEX,1,24
Tyler O'Neill,24,0,R,0,71,1,205,1,90,1,151,0,151,0,151,0,STL,0,5
Kurt Suzuki,36,2,R,0,71,1,204,1,62,1,170,1,309,0,309,0,WAS,0,17
Khris Davis,31,2,R,0,71,1,203,1,30,1,73,1,468,1,533,0,OAK,1,23
Beau Taylor,29,1,L,1,71,1,203,1,30,0,30,0,30,0,30,0,OAK,1,2
Charlie Blackmon,33,2,L,1,75,2,200,1,162,1,206,1,321,1,606,1,COL,0,32
Jon Jay,34,2,L,1,71,1,200,1,182,0,182,0,182,0,182,0,CWS,1,0
Brian Dozier,32,2,R,0,71,1,200,1,114,1,223,1,477,1,482,0,WAS,0,20
Tim Federowicz,32,2,R,0,71,1,200,1,83,0,83,0,83,0,83,0,TEX,1,4
Pat Valaika,27,1,R,0,71,1,200,1,86,0,86,0,86,0,86,0,COL,0,1
Yolmer Sanchez,27,1,B,2,71,1,200,1,555,0,555,0,555,0,555,0,CWS,1,2
Daniel Robertson,25,1,R,0,71,1,200,1,237,0,237,0,237,0,237,0,TB,1,2
Nico Hoerner,22,0,R,0,71,1,200,1,82,0,82,0,82,0,82,0,CHC,0,3
Jack Mayfield,29,1,R,0,71,1,199,1,65,0,65,0,65,0,65,0,HOU,1,2
Greg Garcia,30,2,L,1,71,1,198,1,372,0,372,0,372,0,372,0,SD,0,4
Matt Thaiss,24,0,L,1,71,1,197,1,48,1,164,0,164,0,164,0,LAA,1,8
Brett Gardner,36,2,L,1,71,1,195,1,81,1,241,1,464,1,550,0,NYY,1,28
Chris Iannetta,36,2,R,0,71,1,195,1,78,1,164,0,164,0,164,0,COL,0,6
Andrew McCutchen,33,2,R,0,71,1,195,1,123,1,253,1,262,0,262,0,PHI,0,10
Christian Yelich,27,1,L,1,75,2,200,1,47,1,91,1,195,1,346,1,MIL,0,44
J.B. Shuck,32,2,L,1,71,1,195,1,57,0,57,0,57,0,57,0,PIT,0,0
Tucker Barnhart,28,1,B,2,71,1,195,1,135,1,348,1,364,0,364,0,CIN,0,11
Cody Bellinger,24,0,L,1,76,2,213,1,29,1,86,1,228,1,365,1,LAD,0,47
Dwight Smith,27,1,L,1,71,1,195,1,94,1,222,1,392,0,392,0,BAL,1,13
Ramon Laureano,25,1,R,0,71,1,195,1,163,1,277,1,387,1,481,0,OAK,1,24
Jose Iglesias,29,1,R,0,71,1,194,1,241,1,466,1,530,0,530,0,CIN,0,11
Tyler Heineman,28,1,B,2,71,1,194,1,12,0,12,0,12,0,12,0,MIA,0,1
Steve Pearce,36,2,R,0,71,1,190,1,98,0,98,0,98,0,98,0,BOS,1,1
Ender Inciarte,29,1,L,1,71,1,190,1,216,1,230,0,230,0,230,0,ATL,0,5
Erick Mejia,25,1,B,2,71,1,190,1,27,0,27,0,27,0,27,0,KC,1,0
Kean Wong,24,0,R,0,71,1,190,1,18,0,18,0,18,0,18,0,LAA,1,0
Michael Hermosillo,24,0,R,0,71,1,190,1,46,0,46,0,46,0,46,0,LAA,1,0
Yadier Molina,37,2,R,0,71,1,187,1,331,1,429,1,452,0,452,0,STL,0,10
Abiatal Avelino,24,0,R,0,71,1,186,1,8,0,8,0,8,0,8,0,SF,0,0
Mike Yastrzemski,29,1,L,1,71,1,185,1,90,1,218,1,369,1,411,0,SF,0,21
Christian Arroyo,24,0,R,0,71,1,185,1,57,0,57,0,57,0,57,0,TB,1,2
Daniel Vogelbach,26,1,L,1,72,1,250,2,24,1,133,1,309,1,503,1,SEA,1,30
Justin Turner,34,2,R,0,71,1,180,1,156,1,333,1,451,1,549,0,LAD,0,27
Adeiny Hechavarria,30,2,R,0,71,1,180,1,100,1,221,0,221,0,151,0,NYM,0,5
Michael Perez,27,1,L,1,71,1,180,1,55,0,55,0,55,0,55,0,TB,1,0
Tim Lopes,25,1,R,0,71,1,180,1,128,0,128,0,128,0,128,0,SEA,1,1
Yangervis Solarte,32,2,B,2,71,1,178,0,78,0,78,0,78,0,78,0,SF,0,1
Ichiro Suzuki,45,2,L,1,71,1,175,0,6,0,6,0,6,0,6,0,SEA,1,0
Sandy Leon,30,2,B,2,71,1,175,0,144,1,191,0,191,0,191,0,BOS,1,5
Charlie Tilson,26,1,L,1,71,1,175,0,157,0,157,0,157,0,157,0,CWS,1,1
Garrett Hampson,25,1,R,0,71,1,175,0,283,1,327,0,327,0,327,0,COL,0,8
Sam Haggerty,25,1,B,2,71,1,175,0,4,0,4,0,4,0,4,0,NYM,0,0
Nicky Lopez,24,0,L,1,71,1,175,0,402,0,402,0,402,0,402,0,KC,1,2
Meibrys Viloria,22,0,L,1,71,1,175,0,148,0,148,0,148,0,148,0,KC,1,1
Melky Cabrera,35,2,B,2,71,1,170,0,231,1,397,0,397,0,397,0,PIT,0,7
Tommy La Stella,30,2,L,1,71,1,170,0,66,1,118,1,315,0,315,0,LAA,1,16
Enrique Hernandez,28,1,R,0,71,1,170,0,76,1,216,1,460,0,460,0,LAD,0,17
Adam Frazier,27,1,L,1,71,1,170,0,387,1,570,1,608,0,608,0,PIT,0,10
Alen Hanson,27,1,B,2,71,1,170,0,48,0,48,0,48,0,48,0,TOR,1,0
Harold Ramirez,25,1,R,0,71,1,170,0,231,1,369,1,445,0,445,0,MIA,0,11
Edmundo Sosa,23,0,R,0,71,1,170,0,10,0,10,0,10,0,10,0,STL,0,0
Jorge Polanco,26,1,B,2,71,1,165,0,92,1,255,1,601,1,704,0,MIN,1,22
Josh VanMeter,24,0,L,1,71,1,165,0,167,1,260,0,260,0,260,0,CIN,0,8
Ruben Tejada,30,2,R,0,71,1,162,0,9,0,9,0,9,0,9,0,NYM,0,0
Rafael Ortega,28,1,L,1,71,1,160,0,96,0,96,0,96,0,96,0,ATL,0,2
Breyvic Valera,27,1,B,2,71,1,160,0,52,0,52,0,52,0,52,0,TOR,1,1
Domingo Leyba,24,0,B,2,71,1,160,0,30,0,30,0,30,0,30,0,ARI,0,0
Magneuris Sierra,23,0,L,1,71,1,159,0,42,0,42,0,42,0,42,0,MIA,0,0
Dee Gordon,31,2,L,1,71,1,150,0,421,0,421,0,421,0,421,0,SEA,1,3
Danny Santana,29,1,B,2,71,1,150,0,178,1,234,1,367,1,510,0,TEX,1,28
DJ Stewart,25,1,L,1,72,1,230,2,142,0,142,0,142,0,142,0,BAL,1,4
Manny Pina,32,2,R,0,72,1,228,2,98,1,179,0,179,0,179,0,MIL,0,7
Scott Schebler,29,1,L,1,72,1,225,2,95,0,95,0,95,0,95,0,CIN,0,2
Mike Ford,27,1,L,1,72,1,225,2,99,1,125,1,163,0,163,0,NYY,1,12
Wilson Ramos,32,2,R,0,72,1,221,2,167,1,327,1,524,0,524,0,NYM,0,14
Bobby Wilson,36,2,R,0,72,1,220,2,47,0,47,0,47,0,47,0,DET,1,0
Omar Narvaez,27,1,L,1,72,1,220,2,73,1,229,1,447,1,482,0,SEA,1,22
Eddie Rosario,28,1,L,1,73,1,180,1,66,1,97,1,333,1,542,1,MIN,1,32
Jace Peterson,29,1,L,1,72,1,215,1,108,0,108,0,108,0,108,0,BAL,1,2
Eduardo Escobar,30,2,B,2,70,1,185,1,120,1,195,1,413,1,585,1,ARI,0,35
Gio Urshela,28,1,R,0,72,1,215,1,194,1,278,1,424,1,476,0,NYY,1,21
Edwin Encarnacion,36,2,R,0,73,1,230,2,70,1,142,1,274,1,411,1,SEA,1,21
Jared Walsh,26,1,L,1,72,1,215,1,87,0,87,0,87,0,87,0,LAA,1,1
Tres Barrera,25,1,R,0,72,1,215,1,2,0,2,0,2,0,2,0,WAS,0,0
Martin Prado,36,2,R,0,72,1,214,1,260,0,260,0,260,0,260,0,MIA,0,2
Eloy Jimenez,22,0,R,0,76,2,205,1,96,1,175,1,441,1,488,1,CWS,1,31
Elias Diaz,28,1,R,0,72,1,212,1,332,0,332,0,332,0,332,0,PIT,0,2
Mark Zagunis,26,1,R,0,72,1,212,1,40,0,40,0,40,0,40,0,CHC,0,0
Stephen Vogt,35,2,L,1,72,1,211,1,154,1,263,1,280,0,280,0,SF,0,10
Matt Beaty,26,1,L,1,72,1,210,1,119,1,268,0,268,0,268,0,LAD,0,9
Sam Travis,26,1,R,0,72,1,210,1,93,1,157,0,157,0,157,0,BOS,1,6
Abraham Toro,22,0,B,2,72,1,210,1,89,0,89,0,89,0,89,0,HOU,1,2
Kyle Farmer,29,1,R,0,72,1,207,1,37,1,197,0,197,0,197,0,CIN,0,9
Jeff Mathis,36,2,R,0,72,1,205,1,244,0,244,0,244,0,244,0,TEX,1,2
Zack Cozart,34,2,R,0,72,1,205,1,107,0,107,0,107,0,107,0,LAA,1,0
Bryan Holaday,31,2,R,0,72,1,205,1,129,0,129,0,129,0,129,0,MIA,0,4
Eugenio Suarez,28,1,R,0,71,1,178,0,79,1,138,1,349,1,469,1,CIN,0,49
Derek Dietrich,30,2,L,1,72,1,205,1,45,1,113,1,305,0,305,0,CIN,0,19
Robbie Grossman,30,2,B,2,72,1,205,1,222,1,482,0,482,0,482,0,OAK,1,6
Austin Nola,29,1,R,0,72,1,205,1,125,1,226,1,267,0,267,0,SEA,1,10
Steve Baron,28,1,R,0,72,1,205,1,10,0,10,0,10,0,10,0,PIT,0,0
Francisco Lindor,25,1,B,2,71,1,175,0,90,1,183,1,486,1,653,1,CLE,1,32
Connor Joe,27,1,R,0,72,1,205,1,16,0,16,0,16,0,16,0,SF,0,0
Christin Stewart,25,1,L,1,72,1,205,1,174,1,349,1,416,0,416,0,DET,1,10
Ian Happ,25,1,B,2,72,1,205,1,85,1,153,1,156,0,156,0,CHC,0,11
Freddie Freeman,30,2,L,1,77,2,220,2,125,1,202,1,335,1,546,1,ATL,0,38
Tomas Nido,25,1,R,0,72,1,205,1,144,0,144,0,144,0,144,0,NYM,0,4
Ty France,25,1,R,0,72,1,205,1,150,1,201,0,201,0,201,0,SD,0,7
Austin Hays,24,0,R,0,72,1,205,1,75,0,75,0,75,0,75,0,BAL,1,4
Gary Sanchez,26,1,R,0,74,1,195,1,36,1,75,1,202,1,399,1,NYY,1,34
Trent Grisham,23,0,L,1,72,1,205,1,116,1,183,0,183,0,183,0,MIL,0,6
George Springer,30,2,R,0,75,2,205,1,78,1,148,1,288,1,493,1,HOU,1,39
Ian Kinsler,37,2,R,0,72,1,202,1,129,1,281,0,281,0,281,0,SD,0,9
Dustin Garneau,32,2,R,0,72,1,200,1,100,0,100,0,100,0,100,0,LAA,1,2
Jesus Sucre,31,2,R,0,72,1,200,1,67,0,67,0,67,0,67,0,BAL,1,0
Gleyber Torres,22,0,R,0,73,1,175,0,118,1,183,1,389,1,487,1,NYY,1,38
Tyler Saladino,30,2,R,0,72,1,200,1,71,0,71,0,71,0,71,0,MIL,0,2
Jake Cave,26,1,L,1,72,1,200,1,147,1,228,0,228,0,228,0,MIN,1,8
Addison Russell,25,1,R,0,72,1,200,1,103,1,241,0,241,0,241,0,CHC,0,9
Alex Verdugo,23,0,L,1,72,1,200,1,216,1,307,1,377,0,377,0,LAD,0,12
Willy Adames,24,0,R,0,72,1,198,1,208,1,300,1,569,1,584,0,TB,1,20
Chris Herrmann,31,2,L,1,72,1,195,1,94,0,94,0,94,0,94,0,OAK,1,1
Wilmer Difo,27,1,B,2,72,1,195,1,144,0,144,0,144,0,144,0,WAS,0,2
Harrison Bader,25,1,R,0,72,1,195,1,133,1,353,1,406,0,406,0,STL,0,12
Johan Camargo,25,1,B,2,72,1,195,1,223,1,248,0,248,0,248,0,ATL,0,7
Jake Fraley,24,0,L,1,72,1,195,1,41,0,41,0,41,0,41,0,SEA,1,0
Sheldon Neuse,24,0,R,0,72,1,195,1,61,0,61,0,61,0,61,0,OAK,1,0
Richie Martin,24,0,R,0,72,1,192,1,285,1,309,0,309,0,309,0,BAL,1,6
Will Smith,24,0,R,0,72,1,192,1,44,1,89,1,196,0,196,0,LAD,0,15
Gordon Beckham,33,2,R,0,72,1,190,1,187,1,240,0,240,0,240,0,DET,1,6
Brian Goodwin,29,1,L,1,72,1,190,1,164,1,294,1,458,0,458,0,LAA,1,17
Tim Beckham,29,1,R,0,72,1,190,1,87,1,181,1,328,0,328,0,SEA,1,15
Eric Stamets,28,1,R,0,72,1,190,1,48,0,48,0,48,0,48,0,CLE,1,0
Alex Blandino,27,1,R,0,72,1,190,1,50,0,50,0,50,0,50,0,CIN,0,1
Hunter Renfroe,27,1,R,0,73,1,210,1,68,1,116,1,223,1,474,1,SD,0,33
Javier Baez,26,1,R,0,72,1,190,1,73,1,128,1,346,1,561,0,CHC,0,29
Jurickson Profar,26,1,B,2,72,1,190,1,163,1,277,1,457,1,518,0,OAK,1,20
Michael Reed,26,1,R,0,72,1,190,1,8,0,8,0,8,0,8,0,SF,0,0
LaMonte Wade,25,1,L,1,72,1,190,1,69,0,69,0,69,0,69,0,MIN,1,2
Mike Freeman,32,2,L,1,72,1,189,1,213,0,213,0,213,0,213,0,CLE,1,4
Dawel Lugo,24,0,R,0,72,1,188,1,229,1,288,0,288,0,288,0,DET,1,6
Gorkys Hernandez,32,2,R,0,72,1,185,1,57,0,57,0,57,0,57,0,BOS,1,0
Elvis Andrus,31,2,R,0,72,1,185,1,115,1,513,1,648,0,648,0,TEX,1,12
Cory Spangenberg,28,1,L,1,72,1,185,1,102,0,102,0,102,0,102,0,MIL,0,2
Dylan Moore,27,1,R,0,72,1,185,1,189,1,282,0,282,0,282,0,SEA,1,9
Greg Allen,26,1,B,2,72,1,185,1,256,0,256,0,256,0,256,0,CLE,1,4
J.D. Martinez,32,2,R,0,75,2,232,2,153,1,228,1,425,1,549,1,BOS,1,36
Andrew Stevenson,25,1,L,1,72,1,185,1,37,0,37,0,37,0,37,0,WAS,0,0
Tyrone Taylor,25,1,R,0,72,1,185,1,12,0,12,0,12,0,12,0,MIL,0,0
Dominic Smith,24,0,L,1,72,1,185,1,119,1,184,1,197,0,197,0,NYM,0,11
Keston Hiura,23,0,R,0,72,1,185,1,65,1,164,1,348,0,348,0,MIL,0,19
Victor Robles,22,0,R,0,72,1,185,1,113,1,270,1,617,0,617,0,WAS,0,17
Bo Bichette,21,0,R,0,72,1,185,1,90,1,157,1,212,0,212,0,TOR,1,11
Jed Lowrie,35,2,B,2,72,1,180,1,8,0,8,0,8,0,8,0,NYM,0,0
Jung Ho Kang,32,2,R,0,72,1,180,1,103,1,170,1,185,0,185,0,PIT,0,10
Cristhian Adames,28,1,B,2,72,1,180,1,24,0,24,0,24,0,24,0,SF,0,0
Brendan Rodgers,23,0,R,0,72,1,180,1,81,0,81,0,81,0,81,0,COL,0,0
Luis Torrens,23,0,R,0,72,1,180,1,16,0,16,0,16,0,16,0,SD,0,0
