,DATE,SEOUL,DAEJEON,BUSAN,KOREA
598,2015-08-20,83,51,88,74
599,2015-08-21,80,50,72,67.33333333
600,2015-08-22,92,102,89,94.33333333
601,2015-08-23,87,121,119,109
602,2015-08-24,74,74,65,71
603,2015-08-25,17,24,47,29.33333333
604,2015-08-26,24,28,51,34.33333333
605,2015-08-27,51,44,64,53
606,2015-08-28,67,62,102,77
607,2015-08-29,82,58,148,96
608,2015-08-30,83,73,160,105.3333333
609,2015-08-31,86,76,111,91
610,2015-09-01,73,48,63,61.33333333
611,2015-09-02,68,50,71,63
612,2015-09-03,65,61,99,75
613,2015-09-04,77,65,96,79.33333333
614,2015-09-05,81,73,70,74.66666667
615,2015-09-06,37,41,63,47
616,2015-09-07,29,37,58,41.33333333
617,2015-09-08,32,40,88,53.33333333
618,2015-09-09,37,43,87,55.66666667
619,2015-09-10,53,54,98,68.33333333
620,2015-09-11,87,84,106,92.33333333
621,2015-09-12,54,53,109,72
622,2015-09-13,48,54,87,63
623,2015-09-14,71,52,82,68.33333333
624,2015-09-15,68,40,69,59
625,2015-09-16,38,40,68,48.66666667
626,2015-09-17,26,29,65,40
627,2015-09-18,42,45,73,53.33333333
628,2015-09-19,65,70,84,73
629,2015-09-20,103,80,99,94
630,2015-09-21,105,104,81,96.66666667
631,2015-09-22,94,77,69,80
632,2015-09-23,88,78,94,86.66666667
633,2015-09-24,85,54,76,71.66666667
634,2015-09-25,83,56,73,70.66666667
635,2015-09-26,102,93,83,92.66666667
636,2015-09-27,68,87,90,81.66666667
637,2015-09-28,61,71,96,76
638,2015-09-29,48,65,78,63.66666667
639,2015-09-30,35,41,63,46.33333333
640,2015-10-01,39,37,91,55.66666667
641,2015-10-02,44,48,74,55.33333333
642,2015-10-03,70,84,92,82
643,2015-10-04,51,62,106,73
644,2015-10-05,64,75,75,71.33333333
645,2015-10-06,71,79,80,76.66666667
646,2015-10-07,85,97,76,86
647,2015-10-08,103,115,96,104.6666667
648,2015-10-09,46,44,117,69
649,2015-10-10,52,64,86,67.33333333
650,2015-10-11,41,42,83,55.33333333
651,2015-10-12,41,36,99,58.66666667
652,2015-10-13,59,49,85,64.33333333
653,2015-10-14,96,70,104,90
654,2015-10-15,114,97,120,110.3333333
655,2015-10-16,133,127,108,122.6666667
656,2015-10-17,117,133,76,108.6666667
657,2015-10-18,132,125,114,123.6666667
658,2015-10-19,163,136,128,142.3333333
659,2015-10-20,162,159,160,160.3333333
660,2015-10-21,166,168,156,163.3333333
661,2015-10-22,135,151,117,134.3333333
662,2015-10-23,100,165,95,120
663,2015-10-24,80,143,159,127.3333333
664,2015-10-25,65,60,77,67.33333333
665,2015-10-26,69,52,65,62
666,2015-10-27,52,48,86,62
667,2015-10-28,51,43,94,62.66666667
668,2015-10-29,53,47,124,74.66666667
669,2015-10-30,49,48,108,68.33333333
670,2015-10-31,59,61,88,69.33333333
671,2015-11-01,77,96,104,92.33333333
672,2015-11-02,88,94,131,104.3333333
673,2015-11-03,126,119,131,125.3333333
674,2015-11-04,161,127,134,140.6666667
675,2015-11-05,155,126,142,141
676,2015-11-06,113,130,136,126.3333333
677,2015-11-07,35,42,108,61.66666667
678,2015-11-08,14,19,84,39
679,2015-11-09,30,33,77,46.66666667
680,2015-11-10,108,129,97,111.3333333
681,2015-11-11,93,132,80,101.6666667
682,2015-11-12,45,55,81,60.33333333
683,2015-11-13,39,35,76,50
684,2015-11-14,33,37,103,57.66666667
685,2015-11-15,51,55,110,72
686,2015-11-16,72,80,109,87
687,2015-11-17,52,53,106,70.33333333
688,2015-11-18,27,36,68,43.66666667
689,2015-11-19,34,31,80,48.33333333
690,2015-11-20,79,72,102,84.33333333
691,2015-11-21,110,149,120,126.3333333
692,2015-11-22,75,122,110,102.3333333
693,2015-11-23,21,53,94,56
694,2015-11-24,64,93,86,81
695,2015-11-25,39,24,83,48.66666667
696,2015-11-26,89,47,89,75
697,2015-11-27,97,102,88,95.66666667
698,2015-11-28,99,91,97,95.66666667
699,2015-11-29,104,116,113,111
700,2015-11-30,108,115,130,117.6666667
701,2015-12-01,110,112,141,121
702,2015-12-02,112,126,128,122
703,2015-12-03,46,46,118,70
704,2015-12-04,66,76,89,77
705,2015-12-05,70,71,107,82.66666667
706,2015-12-06,75,77,123,91.66666667
707,2015-12-07,101,123,115,113
708,2015-12-08,117,113,95,108.3333333
709,2015-12-09,125,127,103,118.3333333
710,2015-12-10,97,112,103,104
711,2015-12-11,79,104,88,90.33333333
712,2015-12-12,66,NA,NA,66
713,2015-12-13,88,NA,NA,88
714,2015-12-14,101,122,96,106.3333333
715,2015-12-15,115,86,116,105.6666667
716,2015-12-16,58,45,102,68.33333333
717,2015-12-17,45,43,88,58.66666667
718,2015-12-18,82,67,95,81.33333333
719,2015-12-19,119,112,122,117.6666667
720,2015-12-20,107,149,127,127.6666667
721,2015-12-21,106,131,131,122.6666667
722,2015-12-22,121,118,107,115.3333333
723,2015-12-23,112,126,109,115.6666667
724,2015-12-24,161,131,125,139
725,2015-12-25,63,54,101,72.66666667
726,2015-12-26,113,114,136,121
727,2015-12-27,66,92,147,101.6666667
728,2015-12-28,55,64,88,69
729,2015-12-29,100,88,110,99.33333333
730,2015-12-30,111,114,122,115.6666667
731,2015-12-31,NA,NA,NA,117.3333333
732,2016-01-01,NA,NA,NA,117.3333333
733,2016-01-02,NA,NA,NA,117.3333333
734,2016-01-03,NA,NA,NA,117.3333333
735,2016-01-04,91,105,161,119
736,2016-01-05,67,60,124,83.66666667
737,2016-01-06,102,97,113,104
738,2016-01-07,79,77,125,93.66666667
739,2016-01-08,68,63,96,75.66666667
740,2016-01-09,76,65,103,81.33333333
741,2016-01-10,74,93,107,91.33333333
742,2016-01-11,79,80,112,90.33333333
743,2016-01-12,89,81,101,90.33333333
744,2016-01-13,76,53,96,75
745,2016-01-14,81,68,113,87.33333333
746,2016-01-15,98,99,138,111.6666667
747,2016-01-16,134,148,158,146.6666667
748,2016-01-17,143,142,124,136.3333333
749,2016-01-18,104,77,108,96.33333333
750,2016-01-19,59,26,93,59.33333333
751,2016-01-20,83,71,100,84.66666667
752,2016-01-21,100,101,107,102.6666667
753,2016-01-22,99,82,97,92.66666667
754,2016-01-23,61,56,112,76.33333333
755,2016-01-24,77,60,88,75
756,2016-01-25,71,71,100,80.66666667
757,2016-01-26,125,108,114,115.6666667
758,2016-01-27,106,128,156,130
759,2016-01-28,103,151,151,135
760,2016-01-29,93,70,74,79
761,2016-01-30,91,78,77,82
762,2016-01-31,81,73,128,94
763,2016-02-01,74,50,96,73.33333333
764,2016-02-02,81,75,100,85.33333333
765,2016-02-03,106,100,116,107.3333333
766,2016-02-04,108,109,133,116.6666667
767,2016-02-05,79,78,115,90.66666667
768,2016-02-06,91,81,110,94
769,2016-02-07,90,86,99,91.66666667
770,2016-02-08,116,107,109,110.6666667
771,2016-02-09,94,92,122,102.6666667
772,2016-02-10,85,79,87,83.66666667
773,2016-02-11,90,96,103,96.33333333
774,2016-02-12,85,90,108,94.33333333
775,2016-02-13,46,68,85,66.33333333
776,2016-02-14,68,61,78,69
777,2016-02-15,54,63,91,69.33333333
778,2016-02-16,67,72,103,80.66666667
779,2016-02-17,65,61,97,74.33333333
780,2016-02-18,82,81,113,92
781,2016-02-19,129,124,134,129
782,2016-02-20,69,112,133,104.6666667
783,2016-02-21,52,68,85,68.33333333
784,2016-02-22,71,89,107,89
785,2016-02-23,91,107,137,111.6666667
786,2016-02-24,71,68,99,79.33333333
787,2016-02-25,91,81,105,92.33333333
788,2016-02-26,94,140,148,127.3333333
789,2016-02-27,129,135,164,142.6666667
790,2016-02-28,97,143,153,131
791,2016-02-29,99,82,106,95.66666667
792,2016-03-01,72,81,104,85.66666667
793,2016-03-02,82,80,126,96
794,2016-03-03,103,101,105,103
795,2016-03-04,123,125,116,121.3333333
796,2016-03-05,59,66,127,84
797,2016-03-06,79,80,96,85
798,2016-03-07,101,92,109,100.6666667
799,2016-03-08,77,87,128,97.33333333
800,2016-03-09,63,67,89,73
801,2016-03-10,58,60,99,72.33333333
802,2016-03-11,72,71,98,80.33333333
803,2016-03-12,78,89,113,93.33333333
804,2016-03-13,115,126,131,124
805,2016-03-14,140,149,151,146.6666667
806,2016-03-15,100,121,141,120.6666667
807,2016-03-16,114,116,149,126.3333333
808,2016-03-17,120,102,148,123.3333333
809,2016-03-18,118,114,101,111
810,2016-03-19,134,113,123,123.3333333
811,2016-03-20,144,107,100,117
812,2016-03-21,152,104,83,113
813,2016-03-22,141,106,121,122.6666667
814,2016-03-23,134,119,112,121.6666667
815,2016-03-24,82,77,82,80.33333333
816,2016-03-25,122,90,88,100
817,2016-03-26,137,116,94,115.6666667
818,2016-03-27,140,109,125,124.6666667
819,2016-03-28,129,114,138,127
820,2016-03-29,152,139,156,149
821,2016-03-30,137,113,145,131.6666667
822,2016-03-31,84,100,164,116
823,2016-04-01,100,98,166,121.3333333
824,2016-04-02,127,114,142,127.6666667
825,2016-04-03,109,140,126,125
826,2016-04-04,54,72,70,65.33333333
827,2016-04-05,81,71,115,89
828,2016-04-06,112,87,134,111
829,2016-04-07,90,57,83,76.66666667
830,2016-04-08,114,109,130,117.6666667
831,2016-04-09,160,147,142,149.6666667
832,2016-04-10,168,155,150,157.6666667
833,2016-04-11,81,99,95,91.66666667
834,2016-04-12,95,79,100,91.33333333
835,2016-04-13,104,62,99,88.33333333
836,2016-04-14,102,74,125,100.3333333
837,2016-04-15,96,89,103,96
838,2016-04-16,94,87,104,95
839,2016-04-17,62,51,85,66
840,2016-04-18,88,70,96,84.66666667
841,2016-04-19,81,82,106,89.66666667
842,2016-04-20,106,85,114,101.6666667
843,2016-04-21,73,74,95,80.66666667
